7.3, 2866, 3, RS, III
68.7, 1844, 2, RS, V
68.8, 1512, 1, LTS, III
68.9, 1295, 1, LTS, IV
69.7, 1163, 1, LTS, V
71.9, 3589, 4, LTS, IV
72.7, 3437, 4, LTS, V
73.6, 3798, 4, LTS, III
74, 3717, 4, RS, III
74.9, 543, 0, LTS, IV
75.5, 546, 0, RS, III
75.7, 1925, 2, LTS, V
75.8, 3315, 4, LTS, VI
75.9, 1367, 1, RS, III
76.9, 2276, 2, LTS, III
77.2, 1169, 1, IB, V
77.2, 2306, 3, RS, VI
77.8, 1516, 1, LTS, III
78.9, 3581, 4, LTS, IV
79.2, 389, 0, LTS, V
79.4, 760, 0, LTS, III
79.6, 2979, 3, RS, III
79.7, 3431, 4, LTS, V
80.6, 3443, 4, LTS, V
80.7, 1028, 1, LTS, VI
81, 2662, 3, FS, V
81.1, 3478, 4, RS, IV
81.4, 533, 0, LTS, IV
82, 301, 0, RS, V
83, 2883, 3, RS, III
83.3, 2694, 3, IB, V
83.6, 1789, 2, LTS, VI
83.9, 584, 0, RS, III
84, 3345, 4, RS, V
84.6, 2687, 3, LTS, V
84.8, 3447, 4, LTS, V
85.2, 2449, 3, RS, VI
85.3, 386, 0, LTS, V
85.4, 1846, 2, RS, V
85.4, 2834, 3, RS, III
85.5, 229, 0, RS, VI
85.8, 3676, 4, RS, III
86, 2586, 3, RS, V
86.4, 2847, 3, RS, III
86.6, 662, 0, RS, III
86.6, 3580, 4, LTS, IV
87.5, 271, 0, LTS, VI
88.9, 756, 0, LTS, III
88.9, 3041, 3, LTS, III
89.1, 396, 0, LTS, V
89.1, 1090, 1, RS, V
89.1, 1513, 1, LTS, III
89.2, 2186, 2, RS, III
89.3, 2614, 3, RS, V
89.4, 1922, 2, LTS, V
89.9, 1294, 1, LTS, IV
91.2, 1299, 1, LTS, IV
91.6, 2593, 3, RS, V
91.7, 2630, 3, RS, V
92.1, 553, 0, RS, III
92.2, 1010, 1, FS, VI
92.2, 1071, 1, RS, V
92.4, 2601, 3, RS, V
92.7, 1521, 1, LTS, III
92.7, 2711, 3, IB, V
94.1, 1662, 2, RS, VI
94.1, 2205, 2, RS, III
94.2, 1791, 2, LTS, VI
94.4, 2275, 2, LTS, III
94.4, 2577, 3, RS, V
94.9, 2713, 3, IB, V
95.3, 3039, 3, LTS, III
95.8, 880, 1, RS, VI
95.9, 2564, 3, RS, V
96.2, 2581, 3, RS, V
96.2, 2869, 3, RS, III
96.5, 2604, 3, RS, V
96.8, 2211, 2, RS, III
97, 1455, 1, RS, III
97.1, 3036, 3, LTS, III
98.3, 2221, 2, RS, III
98.3, 2279, 2, LTS, III
99.1, 2278, 2, LTS, III
99.1, 2659, 3, FS, V
99.1, 2695, 3, IB, V
99.2, 3444, 4, LTS, V
99.4, 1913, 2, LTS, V
99.6, 3043, 3, LTS, III
99.7, 2828, 3, LTS, IV
100.1, 2656, 3, FS, V
100.3, 2914, 3, RS, III
100.4, 2691, 3, IB, V
100.8, 2639, 3, FS, V
100.9, 3035, 3, LTS, III
101.2, 3418, 4, FS, V
101.3, 3799, 4, LTS, III
101.6, 2815, 3, LTS, IV
101.9, 2710, 3, IB, V
102, 2644, 3, FS, V
102.1, 3321, 4, RS, V
102.2, 1835, 2, RS, V
102.2, 3577, 4, LTS, IV
102.6, 2713, 3, IB, V
102.6, 3585, 4, LTS, IV
102.9, 2919, 3, RS, III
102.9, 2953, 3, RS, III
102.9, 3040, 3, LTS, III
103.1, 2661, 3, FS, V
103.3, 2664, 3, FS, V
103.3, 3038, 3, LTS, III
103.8, 2214, 2, RS, III
104, 3021, 3, FS, III
104.1, 1064, 1, RS, V
104.3, 2714, 3, IB, V
104.4, 2916, 3, RS, III
104.5, 2872, 3, RS, III
104.8, 3037, 3, LTS, III
105.2, 2712, 3, IB, V
105.3, 2059, 2, LTS, IV
105.4, 3419, 4, FS, V
105.5, 2599, 3, RS, V
105.7, 2616, 3, RS, V
105.8, 536, 0, LTS, IV
105.9, 3458, 4, IB, V
106.2, 2574, 3, RS, V
106.5, 3042, 3, LTS, III
106.6, 470, 0, RS, IV
106.7, 2663, 3, FS, V
107.3, 3429, 4, FS, V
107.4, 2696, 3, IB, V
107.5, 1192, 1, IB, V
107.6, 1041, 1, RS, V
107.6, 2825, 3, LTS, IV
107.8, 1862, 2, RS, V
107.9, 1178, 1, IB, V
107.9, 2688, 3, IB, V
108, 1949, 2, IB, V
108, 3456, 4, IB, V
108.9, 656, 0, RS, III
108.9, 1788, 2, LTS, VI
109, 1147, 1, LTS, V
109, 1418, 1, RS, III
109.3, 452, 0, RS, IV
109.3, 2709, 3, IB, V
109.7, 2566, 3, RS, V
109.7, 2573, 3, RS, V
110, 1842, 2, RS, V
110.1, 681, 0, RS, III
110.1, 2606, 3, RS, V
110.1, 2672, 3, LTS, V
110.2, 1164, 1, LTS, V
110.2, 1853, 2, RS, V
110.2, 3393, 4, FS, V
110.3, 1304, 1, LTS, IV
110.3, 2330, 3, RS, VI
110.4, 1116, 1, FS, V
110.6, 2161, 2, RS, III
110.6, 2591, 3, RS, V
110.6, 2600, 3, RS, V
110.6, 2823, 3, LTS, IV
110.9, 1142, 1, FS, V
110.9, 1882, 2, FS, V
111, 1930, 2, IB, V
111, 1934, 2, IB, V
111, 2708, 3, IB, V
111.1, 1110, 1, FS, V
111.4, 3398, 4, FS, V
111.5, 1578, 2, RS, VI
111.5, 2877, 3, RS, III
111.6, 1883, 2, FS, V
111.7, 2575, 3, RS, V
111.8, 2700, 3, IB, V
112.1, 1940, 2, IB, V
112.2, 1114, 1, FS, V
112.2, 2705, 3, IB, V
112.5, 1891, 2, FS, V
112.6, 1888, 2, FS, V
112.6, 2820, 3, LTS, IV
112.8, 1894, 2, FS, V
112.9, 2605, 3, RS, V
113, 188, 0, RS, VI
113, 753, 0, LTS, III
113, 1060, 1, RS, V
113, 1876, 2, FS, V
113.2, 1919, 2, LTS, V
113.3, 2824, 3, LTS, IV
113.4, 1869, 2, RS, V
113.5, 2594, 3, RS, V
113.7, 1817, 2, RS, V
113.8, 1920, 2, LTS, V
113.9, 1871, 2, FS, V
114, 1880, 2, FS, V
114, 1905, 2, FS, V
114.1, 1875, 2, FS, V
114.1, 1893, 2, FS, V
114.1, 1900, 2, FS, V
114.2, 1135, 1, FS, V
114.2, 1144, 1, FS, V
114.2, 1885, 2, FS, V
114.3, 1138, 1, FS, V
114.3, 1500, 1, FS, III
114.3, 1902, 2, FS, V
114.4, 1136, 1, FS, V
114.4, 1897, 2, FS, V
114.4, 2995, 3, RS, III
114.5, 1895, 2, FS, V
114.5, 2707, 3, IB, V
114.6, 1159, 1, LTS, V
114.7, 1519, 1, LTS, III
114.7, 1826, 2, RS, V
114.7, 1904, 2, FS, V
114.7, 2818, 3, LTS, IV
114.9, 2689, 3, IB, V
114.9, 3768, 4, FS, III
115, 1886, 2, FS, V
115, 2582, 3, RS, V
115, 2892, 3, RS, III
115.1, 2868, 3, RS, III
115.2, 1872, 2, FS, V
115.2, 2975, 3, RS, III
115.3, 2648, 3, FS, V
115.4, 1121, 1, FS, V
115.5, 2585, 3, RS, V
115.6, 1933, 2, IB, V
115.7, 2701, 3, IB, V
115.8, 2653, 3, FS, V
116, 1887, 2, FS, V
116, 2633, 3, FS, V
116, 2657, 3, FS, V
116.2, 537, 0, LTS, IV
116.2, 1890, 2, FS, V
116.2, 2654, 3, FS, V
116.3, 1127, 1, FS, V
116.3, 1932, 2, IB, V
116.3, 2652, 3, FS, V
116.3, 2812, 3, LTS, IV
116.4, 1852, 2, RS, V
116.5, 534, 0, LTS, IV
116.5, 2645, 3, FS, V
116.6, 549, 0, RS, III
116.7, 1126, 1, FS, V
116.8, 2662, 3, FS, V
116.8, 2703, 3, IB, V
116.9, 2650, 3, FS, V
117.3, 3578, 4, LTS, IV
117.4, 1175, 1, IB, V
117.4, 1306, 1, LTS, IV
117.4, 2664, 3, FS, V
117.4, 2813, 3, LTS, IV
117.4, 3034, 3, LTS, III
117.6, 291, 0, RS, V
117.6, 540, 0, LTS, IV
117.6, 2908, 3, RS, III
117.7, 3302, 4, FS, VI
117.8, 2666, 3, FS, V
117.9, 2941, 3, RS, III
118, 2668, 3, FS, V
118.1, 331, 0, RS, V
118.1, 701, 0, RS, III
118.1, 1298, 1, LTS, IV
118.1, 2619, 3, RS, V
118.2, 2640, 3, FS, V
118.3, 1177, 1, IB, V
118.3, 2281, 2, LTS, III
118.5, 1439, 1, RS, III
118.5, 2961, 3, RS, III
118.5, 3428, 4, FS, V
118.6, 279, 0, RS, V
118.6, 2259, 2, FS, III
118.6, 3413, 4, FS, V
118.7, 2660, 3, FS, V
118.7, 2667, 3, FS, V
118.9, 2655, 3, FS, V
119, 419, 0, IB, V
119.1, 2273, 2, LTS, III
119.1, 2649, 3, FS, V
119.1, 2656, 3, FS, V
119.2, 407, 0, IB, V
119.2, 2968, 3, RS, III
119.2, 3002, 3, FS, III
119.4, 1515, 1, LTS, III
120, 328, 0, RS, V
120.1, 2663, 3, FS, V
120.2, 385, 0, FS, V
120.2, 3467, 4, IB, V
120.3, 418, 0, IB, V
120.5, 2947, 3, RS, III
120.7, 3427, 4, FS, V
120.8, 2826, 3, LTS, IV
120.9, 2944, 3, RS, III
120.9, 3640, 4, RS, III
121, 2057, 2, LTS, IV
121, 2179, 2, RS, III
121, 2939, 3, RS, III
121.2, 2450, 3, RS, VI
121.2, 2693, 3, IB, V
121.3, 1962, 2, RS, IV
121.3, 3025, 3, FS, III
121.3, 3406, 4, FS, V
121.4, 374, 0, FS, V
121.4, 2644, 3, FS, V
121.5, 2888, 3, RS, III
122, 2692, 3, IB, V
122, 3424, 4, FS, V
122.1, 3417, 4, FS, V
122.3, 2241, 2, FS, III
122.4, 2138, 2, RS, III
122.6, 3420, 4, FS, V
122.7, 361, 0, FS, V
122.7, 1431, 1, RS, III
122.7, 1948, 2, IB, V
122.7, 3258, 4, RS, VI
122.9, 382, 0, FS, V
123, 2706, 3, IB, V
123.2, 2274, 2, LTS, III
123.3, 355, 0, FS, V
123.3, 3400, 4, FS, V
123.4, 2822, 3, LTS, IV
123.4, 2875, 3, RS, III
123.5, 249, 0, FS, VI
123.5, 2702, 3, IB, V
123.6, 2125, 2, RS, III
123.6, 3423, 4, FS, V
123.8, 299, 0, RS, V
123.8, 2873, 3, RS, III
123.9, 2690, 3, IB, V
124, 379, 0, FS, V
124, 2905, 3, RS, III
124.1, 617, 0, RS, III
124.2, 2066, 2, LTS, IV
124.4, 411, 0, IB, V
124.4, 2253, 2, FS, III
124.5, 2121, 2, RS, III
124.6, 2931, 3, RS, III
124.6, 3396, 4, FS, V
124.9, 369, 0, FS, V
124.9, 2829, 3, RS, III
125, 631, 0, RS, III
125, 2064, 2, LTS, IV
125.1, 399, 0, LTS, V
125.2, 412, 0, IB, V
125.5, 530, 0, LTS, IV
125.5, 2082, 2, RS, III
125.8, 351, 0, FS, V
125.9, 2056, 2, LTS, IV
126.1, 758, 0, LTS, III
126.2, 424, 0, IB, V
126.6, 1297, 1, LTS, IV
126.7, 625, 0, RS, III
126.7, 2191, 2, RS, III
127.1, 2050, 2, FS, IV
127.2, 402, 0, LTS, V
127.2, 1514, 1, LTS, III
127.2, 2134, 2, RS, III
127.5, 1186, 1, IB, V
127.5, 2846, 3, RS, III
127.5, 2933, 3, RS, III
127.7, 726, 0, FS, III
127.8, 3393, 4, FS, V
128.3, 1302, 1, LTS, IV
128.3, 3763, 4, FS, III
128.4, 700, 0, RS, III
128.6, 755, 0, LTS, III
128.6, 3430, 4, LTS, V
128.8, 2246, 2, FS, III
128.9, 350, 0, FS, V
129, 601, 0, RS, III
129.1, 2878, 3, RS, III
129.6, 585, 0, RS, III
130.1, 541, 0, LTS, IV
130.2, 2123, 2, RS, III
130.4, 545, 0, LTS, IV
130.4, 1447, 1, RS, III
130.6, 1187, 1, IB, V
130.7, 1144, 1, FS, V
130.9, 2695, 3, IB, V
131.3, 2700, 3, IB, V
131.5, 3235, 4, RS, VI
131.6, 2063, 2, LTS, IV
131.9, 611, 0, RS, III
131.9, 2835, 3, RS, III
132, 2704, 3, IB, V
132.4, 2965, 3, RS, III
132.6, 754, 0, LTS, III
132.6, 2955, 3, RS, III
132.9, 560, 0, RS, III
133.1, 628, 0, RS, III
133.1, 751, 0, LTS, III
133.1, 1121, 1, FS, V
133.2, 1185, 1, IB, V
133.2, 2135, 2, RS, III
133.6, 3765, 4, FS, III
133.9, 2068, 2, RS, III
133.9, 2697, 3, IB, V
134, 2894, 3, RS, III
134, 2990, 3, RS, III
134.1, 3579, 4, LTS, IV
134.4, 539, 0, LTS, IV
134.4, 1881, 2, FS, V
134.4, 2703, 3, IB, V
134.9, 2067, 2, LTS, IV
135.4, 554, 0, RS, III
135.4, 2588, 3, RS, V
135.4, 2897, 3, RS, III
135.5, 338, 0, RS, V
135.5, 535, 0, LTS, IV
135.9, 2699, 3, IB, V
136.1, 2690, 3, IB, V
136.2, 706, 0, RS, III
136.2, 3747, 4, RS, III
136.3, 2987, 3, RS, III
136.5, 406, 0, IB, V
136.5, 573, 0, RS, III
136.6, 2592, 3, RS, V
136.9, 1941, 2, IB, V
136.9, 3710, 4, RS, III
137, 1946, 2, IB, V
137.2, 298, 0, RS, V
137.3, 2969, 3, RS, III
137.4, 1134, 1, FS, V
137.4, 2694, 3, IB, V
137.9, 2708, 3, IB, V
138.1, 1936, 2, IB, V
138.6, 413, 0, IB, V
138.7, 1360, 1, RS, III
138.8, 416, 0, IB, V
138.8, 423, 0, IB, V
138.8, 703, 0, RS, III
138.8, 2880, 3, RS, III
138.9, 1324, 1, RS, III
138.9, 1951, 2, IB, V
139, 2550, 3, LTS, VI
139, 2692, 3, IB, V
139, 2884, 3, RS, III
139.1, 1947, 2, IB, V
139.1, 2552, 3, LTS, VI
139.3, 2612, 3, RS, V
139.3, 2899, 3, RS, III
139.4, 2565, 3, RS, V
139.5, 2937, 3, RS, III
139.6, 415, 0, IB, V
139.6, 651, 0, RS, III
139.9, 429, 0, IB, V
139.9, 3789, 4, FS, III
140, 2419, 3, RS, VI
140.1, 422, 0, IB, V
140.2, 406, 0, IB, V
140.2, 2706, 3, IB, V
140.3, 285, 0, RS, V
140.3, 2705, 3, IB, V
140.4, 1517, 1, LTS, III
140.5, 2571, 3, RS, V
140.6, 300, 0, RS, V
140.6, 342, 0, RS, V
140.9, 408, 0, IB, V
140.9, 1942, 2, IB, V
141, 643, 0, RS, III
141, 2693, 3, IB, V
141.1, 430, 0, IB, V
141.1, 2999, 3, RS, III
141.3, 1120, 1, FS, V
141.3, 2689, 3, IB, V
141.4, 836, 1, RS, VI
141.4, 1927, 2, IB, V
141.4, 2561, 3, RS, V
141.6, 2688, 3, IB, V
141.6, 2694, 3, IB, V
141.7, 2557, 3, RS, V
141.7, 2618, 3, RS, V
142, 1184, 1, IB, V
142, 2601, 3, RS, V
142.1, 2596, 3, RS, V
142.1, 2652, 3, FS, V
142.1, 2924, 3, RS, III
142.1, 3004, 3, FS, III
142.2, 274, 0, RS, V
142.2, 307, 0, RS, V
142.2, 426, 0, IB, V
142.2, 2610, 3, RS, V
142.2, 2624, 3, RS, V
142.3, 1180, 1, IB, V
142.3, 2617, 3, RS, V
142.4, 302, 0, RS, V
142.4, 1026, 1, LTS, VI
142.4, 1168, 1, IB, V
142.4, 2595, 3, RS, V
142.4, 2986, 3, RS, III
142.5, 630, 0, RS, III
142.5, 1904, 2, FS, V
142.5, 2598, 3, RS, V
142.6, 1907, 2, FS, V
142.6, 2577, 3, RS, V
142.6, 2664, 3, FS, V
142.6, 2977, 3, RS, III
142.7, 290, 0, RS, V
142.7, 2167, 2, RS, III
142.7, 2613, 3, RS, V
142.7, 2620, 3, RS, V
142.9, 1176, 1, IB, V
142.9, 2855, 3, RS, III
143, 344, 0, RS, V
143, 1896, 2, FS, V
143, 3001, 3, FS, III
143.1, 1877, 2, FS, V
143.1, 1882, 2, FS, V
143.1, 1883, 2, FS, V
143.1, 2713, 3, IB, V
143.2, 1935, 2, IB, V
143.2, 2632, 3, FS, V
143.2, 2638, 3, FS, V
143.2, 3014, 3, FS, III
143.3, 415, 0, IB, V
143.3, 2642, 3, FS, V
143.3, 2653, 3, FS, V
143.4, 405, 0, IB, V
143.4, 1874, 2, FS, V
143.4, 1903, 2, FS, V
143.4, 2580, 3, RS, V
143.4, 2597, 3, RS, V
143.5, 2110, 2, RS, III
143.6, 1895, 2, FS, V
143.6, 2611, 3, RS, V
143.6, 2623, 3, RS, V
143.6, 2661, 3, FS, V
143.7, 347, 0, RS, V
143.7, 2643, 3, FS, V
143.7, 2645, 3, FS, V
143.7, 3414, 4, FS, V
143.8, 313, 0, RS, V
143.8, 356, 0, FS, V
143.8, 2603, 3, RS, V
143.8, 2651, 3, FS, V
143.9, 1114, 1, FS, V
143.9, 1876, 2, FS, V
143.9, 1897, 2, FS, V
143.9, 1899, 2, FS, V
143.9, 2141, 2, RS, III
143.9, 2658, 3, FS, V
144, 343, 0, RS, V
144, 1126, 1, FS, V
144, 1130, 1, FS, V
144, 1894, 2, FS, V
144, 1900, 2, FS, V
144, 2654, 3, FS, V
144.1, 292, 0, RS, V
144.1, 1944, 2, IB, V
144.1, 2193, 2, RS, III
144.1, 2644, 3, FS, V
144.2, 417, 0, IB, V
144.2, 1873, 2, FS, V
144.2, 1880, 2, FS, V
144.2, 2639, 3, FS, V
144.2, 2647, 3, FS, V
144.2, 2657, 3, FS, V
144.2, 2851, 3, RS, III
144.3, 1139, 1, FS, V
144.3, 1142, 1, FS, V
144.3, 1189, 1, IB, V
144.3, 1887, 2, FS, V
144.3, 1901, 2, FS, V
144.3, 1950, 2, IB, V
144.3, 2668, 3, FS, V
144.3, 3405, 4, FS, V
144.4, 354, 0, FS, V
144.4, 2182, 2, RS, III
144.4, 2641, 3, FS, V
144.5, 348, 0, RS, V
144.5, 406, 0, IB, V
144.5, 430, 0, IB, V
144.5, 1131, 1, FS, V
144.5, 1889, 2, FS, V
144.5, 2095, 2, RS, III
144.6, 2576, 3, RS, V
144.6, 2607, 3, RS, V
144.6, 2627, 3, RS, V
144.6, 2650, 3, FS, V
144.7, 349, 0, FS, V
144.7, 362, 0, FS, V
144.7, 419, 0, IB, V
144.7, 1878, 2, FS, V
144.7, 2636, 3, FS, V
144.7, 2659, 3, FS, V
144.7, 2689, 3, IB, V
144.8, 369, 0, FS, V
144.8, 1884, 2, FS, V
144.8, 1893, 2, FS, V
144.8, 2635, 3, FS, V
144.8, 2637, 3, FS, V
144.9, 315, 0, RS, V
144.9, 1145, 1, FS, V
144.9, 2656, 3, FS, V
144.9, 3422, 4, FS, V
145, 379, 0, FS, V
145, 425, 0, IB, V
145, 1111, 1, FS, V
145, 1121, 1, FS, V
145, 1479, 1, FS, III
145, 1885, 2, FS, V
145, 2555, 3, RS, V
145, 2660, 3, FS, V
145, 2662, 3, FS, V
145, 2665, 3, FS, V
145, 3013, 3, FS, III
145.1, 1123, 1, FS, V
145.1, 1832, 2, RS, V
145.1, 1875, 2, FS, V
145.1, 1879, 2, FS, V
145.1, 1898, 2, FS, V
145.1, 1928, 2, IB, V
145.1, 2817, 3, LTS, IV
145.2, 320, 0, RS, V
145.2, 360, 0, FS, V
145.2, 376, 0, FS, V
145.2, 2691, 3, IB, V
145.3, 368, 0, FS, V
145.3, 1871, 2, FS, V
145.3, 1905, 2, FS, V
145.3, 2602, 3, RS, V
145.3, 2649, 3, FS, V
145.3, 2655, 3, FS, V
145.3, 2698, 3, IB, V
145.4, 421, 0, IB, V
145.4, 1132, 1, FS, V
145.4, 1144, 1, FS, V
145.4, 1904, 2, FS, V
145.4, 2663, 3, FS, V
145.4, 2814, 3, LTS, IV
145.5, 1125, 1, FS, V
145.5, 1137, 1, FS, V
145.5, 1907, 2, FS, V
145.5, 2633, 3, FS, V
145.5, 2640, 3, FS, V
145.5, 2646, 3, FS, V
145.5, 2712, 3, IB, V
145.5, 2860, 3, RS, III
145.5, 3022, 3, FS, III
145.6, 426, 0, IB, V
145.6, 1138, 1, FS, V
145.6, 2625, 3, RS, V
145.6, 2666, 3, FS, V
145.6, 2819, 3, LTS, IV
145.6, 3020, 3, FS, III
145.6, 3030, 3, FS, III
145.6, 3397, 4, FS, V
145.7, 295, 0, RS, V
145.7, 351, 0, FS, V
145.8, 276, 0, RS, V
145.8, 357, 0, FS, V
145.8, 1112, 1, FS, V
145.8, 1128, 1, FS, V
145.8, 1892, 2, FS, V
145.8, 2652, 3, FS, V
145.8, 2664, 3, FS, V
145.9, 296, 0, RS, V
145.9, 365, 0, FS, V
145.9, 1120, 1, FS, V
145.9, 2608, 3, RS, V
145.9, 2667, 3, FS, V
145.9, 2946, 3, RS, III
145.9, 3031, 3, FS, III
146, 380, 0, FS, V
146, 382, 0, FS, V
146, 409, 0, IB, V
146, 410, 0, IB, V
146, 1179, 1, IB, V
146, 1872, 2, FS, V
146, 1906, 2, FS, V
146, 2609, 3, RS, V
146, 3418, 4, FS, V
146.1, 275, 0, RS, V
146.1, 1122, 1, FS, V
146.1, 1882, 2, FS, V
146.1, 1902, 2, FS, V
146.1, 2558, 3, RS, V
146.1, 2648, 3, FS, V
146.2, 318, 0, RS, V
146.2, 383, 0, FS, V
146.2, 547, 0, RS, III
146.2, 1883, 2, FS, V
146.2, 1891, 2, FS, V
146.2, 2906, 3, RS, III
146.2, 2921, 3, RS, III
146.3, 278, 0, RS, V
146.3, 371, 0, FS, V
146.3, 583, 0, RS, III
146.3, 1116, 1, FS, V
146.3, 1135, 1, FS, V
146.3, 2634, 3, FS, V
146.3, 3016, 3, FS, III
146.4, 353, 0, FS, V
146.4, 695, 0, RS, III
146.4, 1136, 1, FS, V
146.4, 1877, 2, FS, V
146.4, 1903, 2, FS, V
146.4, 2131, 2, RS, III
146.4, 2642, 3, FS, V
146.4, 2858, 3, RS, III
146.4, 3019, 3, FS, III
146.5, 1110, 1, FS, V
146.5, 2632, 3, FS, V
146.5, 3399, 4, FS, V
146.6, 306, 0, RS, V
146.6, 336, 0, RS, V
146.6, 352, 0, FS, V
146.6, 374, 0, FS, V
146.6, 1113, 1, FS, V
146.6, 1499, 1, FS, III
146.6, 2568, 3, RS, V
146.6, 3408, 4, FS, V
146.7, 319, 0, RS, V
146.7, 366, 0, FS, V
146.7, 367, 0, FS, V
146.7, 373, 0, FS, V
146.7, 377, 0, FS, V
146.7, 2578, 3, RS, V
146.7, 2645, 3, FS, V
146.7, 2651, 3, FS, V
146.7, 2702, 3, IB, V
146.7, 3003, 3, FS, III
146.7, 3043, 3, LTS, III
146.8, 304, 0, RS, V
146.8, 1084, 1, RS, V
146.8, 1146, 1, FS, V
146.8, 2252, 2, FS, III
146.9, 378, 0, FS, V
146.9, 642, 0, RS, III
146.9, 740, 0, FS, III
146.9, 1130, 1, FS, V
146.9, 1484, 1, FS, III
146.9, 1894, 2, FS, V
146.9, 1945, 2, IB, V
146.9, 2163, 2, RS, III
146.9, 3417, 4, FS, V
146.9, 3421, 4, FS, V
147, 384, 0, FS, V
147, 2644, 3, FS, V
147, 2703, 3, IB, V
147, 3426, 4, FS, V
147.1, 1874, 2, FS, V
147.1, 1881, 2, FS, V
147.1, 2658, 3, FS, V
147.1, 3027, 3, FS, III
147.2, 1845, 2, RS, V
147.2, 2638, 3, FS, V
147.2, 2707, 3, IB, V
147.2, 2827, 3, LTS, IV
147.2, 3021, 3, FS, III
147.2, 3398, 4, FS, V
147.3, 350, 0, FS, V
147.3, 354, 0, FS, V
147.3, 355, 0, FS, V
147.3, 359, 0, FS, V
147.3, 361, 0, FS, V
147.3, 370, 0, FS, V
147.3, 638, 0, RS, III
147.3, 724, 0, FS, III
147.3, 2261, 2, FS, III
147.3, 2583, 3, RS, V
147.3, 3403, 4, FS, V
147.3, 3420, 4, FS, V
147.4, 283, 0, RS, V
147.4, 635, 0, RS, III
147.4, 1118, 1, FS, V
147.4, 1170, 1, IB, V
147.4, 2653, 3, FS, V
147.4, 2804, 3, FS, IV
147.5, 273, 0, RS, V
147.5, 363, 0, FS, V
147.5, 381, 0, FS, V
147.5, 558, 0, RS, III
147.5, 1901, 2, FS, V
147.5, 2128, 2, RS, III
147.6, 284, 0, RS, V
147.6, 335, 0, RS, V
147.6, 615, 0, RS, III
147.6, 1115, 1, FS, V
147.6, 1133, 1, FS, V
147.6, 2708, 3, IB, V
147.6, 3010, 3, FS, III
147.6, 3042, 3, LTS, III
