10.9, 2056, 2, LTS, IV
105.5, 1206, 1, RS, IV
105.5, 2040, 2, FS, IV
105.5, 2044, 2, FS, IV
105.6, 506, 0, FS, IV
105.6, 525, 0, FS, IV
105.6, 1230, 1, RS, IV
105.6, 1246, 1, RS, IV
105.6, 1257, 1, RS, IV
105.6, 1266, 1, FS, IV
105.6, 2045, 2, FS, IV
105.7, 1209, 1, RS, IV
105.7, 1225, 1, RS, IV
105.7, 1234, 1, RS, IV
105.7, 1245, 1, RS, IV
105.7, 1259, 1, RS, IV
105.7, 1277, 1, FS, IV
105.7, 1279, 1, FS, IV
105.7, 1281, 1, FS, IV
105.8, 1214, 1, RS, IV
105.8, 1233, 1, RS, IV
105.8, 1261, 1, RS, IV
105.8, 1262, 1, RS, IV
105.8, 2032, 2, FS, IV
105.9, 514, 0, FS, IV
105.9, 1215, 1, RS, IV
105.9, 1256, 1, RS, IV
105.9, 1289, 1, FS, IV
105.9, 2036, 2, FS, IV
105.9, 2802, 3, FS, IV
106, 521, 0, FS, IV
106, 1112, 1, FS, V
106, 1194, 1, RS, IV
106, 1218, 1, RS, IV
106, 1219, 1, RS, IV
106, 1248, 1, RS, IV
106, 1270, 1, FS, IV
106, 1288, 1, FS, IV
106, 2041, 2, FS, IV
106, 2046, 2, FS, IV
106.1, 1116, 1, FS, V
106.1, 1136, 1, FS, V
106.1, 1141, 1, FS, V
106.1, 1146, 1, FS, V
106.1, 1241, 1, RS, IV
106.1, 1252, 1, RS, IV
106.1, 1265, 1, RS, IV
106.1, 1282, 1, FS, IV
106.1, 1285, 1, FS, IV
106.2, 511, 0, FS, IV
106.2, 520, 0, FS, IV
106.2, 528, 0, FS, IV
106.2, 1197, 1, RS, IV
106.2, 1267, 1, FS, IV
106.3, 512, 0, FS, IV
106.3, 524, 0, FS, IV
106.3, 1196, 1, RS, IV
106.3, 1235, 1, RS, IV
106.3, 1237, 1, RS, IV
106.4, 1122, 1, FS, V
106.4, 1127, 1, FS, V
106.4, 1210, 1, RS, IV
106.5, 1211, 1, RS, IV
106.5, 1263, 1, RS, IV
106.5, 1269, 1, FS, IV
106.5, 1283, 1, FS, IV
106.6, 510, 0, FS, IV
106.6, 1224, 1, RS, IV
106.6, 1226, 1, RS, IV
106.6, 1273, 1, FS, IV
106.6, 1284, 1, FS, IV
106.6, 2039, 2, FS, IV
106.6, 2794, 3, FS, IV
106.7, 518, 0, FS, IV
106.7, 1133, 1, FS, V
106.7, 1200, 1, RS, IV
106.7, 2807, 3, FS, IV
106.8, 1135, 1, FS, V
106.8, 1251, 1, RS, IV
106.8, 1275, 1, FS, IV
106.8, 1276, 1, FS, IV
106.9, 1271, 1, FS, IV
107, 1242, 1, RS, IV
107.1, 2047, 2, FS, IV
107.2, 1064, 1, RS, V
107.2, 2028, 2, FS, IV
107.2, 2790, 3, FS, IV
107.3, 2034, 2, FS, IV
107.4, 1128, 1, FS, V
107.4, 1229, 1, RS, IV
107.4, 2033, 2, FS, IV
107.6, 1278, 1, FS, IV
107.6, 1280, 1, FS, IV
107.7, 1223, 1, RS, IV
107.7, 1268, 1, FS, IV
107.7, 1287, 1, FS, IV
107.8, 1247, 1, RS, IV
107.8, 1272, 1, FS, IV
107.8, 2029, 2, FS, IV
107.8, 2801, 3, FS, IV
107.9, 1117, 1, FS, V
107.9, 1286, 1, FS, IV
107.9, 2038, 2, FS, IV
108, 2031, 2, FS, IV
108, 2042, 2, FS, IV
108.2, 681, 0, RS, III
108.2, 2804, 3, FS, IV
108.3, 1274, 1, FS, IV
108.5, 506, 0, FS, IV
108.5, 513, 0, FS, IV
108.5, 1266, 1, FS, IV
108.5, 2059, 2, LTS, IV
108.6, 1277, 1, FS, IV
108.6, 1279, 1, FS, IV
108.6, 1281, 1, FS, IV
108.6, 1371, 1, RS, III
108.6, 2035, 2, FS, IV
108.6, 2044, 2, FS, IV
108.7, 1452, 1, RS, III
108.7, 1476, 1, RS, III
108.7, 1494, 1, FS, III
108.7, 1505, 1, FS, III
108.8, 514, 0, FS, IV
108.8, 1126, 1, FS, V
108.8, 1289, 1, FS, IV
108.8, 1463, 1, RS, III
108.8, 1511, 1, FS, III
108.8, 2036, 2, FS, IV
108.8, 2793, 3, FS, IV
108.9, 509, 0, FS, IV
108.9, 1270, 1, FS, IV
108.9, 1288, 1, FS, IV
108.9, 1359, 1, RS, III
108.9, 2048, 2, FS, IV
109, 1282, 1, FS, IV
109, 1285, 1, FS, IV
109, 1352, 1, RS, III
109, 1396, 1, RS, III
109, 1438, 1, RS, III
109, 1459, 1, RS, III
109.1, 511, 0, FS, IV
109.1, 520, 0, FS, IV
109.1, 1267, 1, FS, IV
109.1, 1330, 1, RS, III
109.1, 1409, 1, RS, III
109.1, 1430, 1, RS, III
109.1, 2049, 2, FS, IV
109.2, 523, 0, FS, IV
109.2, 1123, 1, FS, V
109.2, 1134, 1, FS, V
109.2, 1315, 1, RS, III
109.2, 1366, 1, RS, III
109.2, 1453, 1, RS, III
109.2, 1469, 1, RS, III
109.2, 1495, 1, FS, III
109.2, 2043, 2, FS, IV
109.3, 1314, 1, RS, III
109.3, 1368, 1, RS, III
109.3, 1387, 1, RS, III
109.3, 1407, 1, RS, III
109.3, 1472, 1, RS, III
109.3, 1490, 1, FS, III
109.3, 1496, 1, FS, III
109.4, 524, 0, FS, IV
109.4, 1269, 1, FS, IV
109.4, 1283, 1, FS, IV
109.4, 1348, 1, RS, III
109.4, 1349, 1, RS, III
109.4, 1383, 1, RS, III
109.4, 1400, 1, RS, III
109.4, 1421, 1, RS, III
109.4, 1426, 1, RS, III
109.4, 1484, 1, FS, III
109.5, 1273, 1, FS, IV
109.5, 1284, 1, FS, IV
109.5, 1309, 1, RS, III
109.5, 1328, 1, RS, III
109.5, 1358, 1, RS, III
109.5, 1360, 1, RS, III
109.5, 1361, 1, RS, III
109.5, 1363, 1, RS, III
109.5, 1377, 1, RS, III
109.5, 1412, 1, RS, III
109.5, 1423, 1, RS, III
109.5, 1434, 1, RS, III
109.5, 1457, 1, RS, III
109.5, 1477, 1, RS, III
109.6, 1295, 1, LTS, IV
109.6, 1397, 1, RS, III
109.6, 1420, 1, RS, III
109.6, 1462, 1, RS, III
109.6, 1501, 1, FS, III
109.6, 1507, 1, FS, III
109.6, 2032, 2, FS, IV
109.7, 1275, 1, FS, IV
109.7, 1276, 1, FS, IV
109.7, 1320, 1, RS, III
109.7, 1355, 1, RS, III
109.7, 1356, 1, RS, III
109.7, 1367, 1, RS, III
109.7, 1416, 1, RS, III
109.7, 1422, 1, RS, III
109.7, 1454, 1, RS, III
109.7, 1455, 1, RS, III
109.7, 1485, 1, FS, III
109.7, 1500, 1, FS, III
109.7, 2037, 2, FS, IV
109.8, 1271, 1, FS, IV
109.8, 1342, 1, RS, III
109.8, 1372, 1, RS, III
109.8, 1388, 1, RS, III
109.8, 1414, 1, RS, III
109.8, 1448, 1, RS, III
109.8, 1466, 1, RS, III
109.8, 1471, 1, RS, III
109.8, 1480, 1, FS, III
109.8, 1499, 1, FS, III
109.8, 1504, 1, FS, III
109.8, 1510, 1, FS, III
109.9, 521, 0, FS, IV
109.9, 1333, 1, RS, III
109.9, 1336, 1, RS, III
109.9, 1353, 1, RS, III
109.9, 1373, 1, RS, III
109.9, 1411, 1, RS, III
109.9, 1415, 1, RS, III
109.9, 1439, 1, RS, III
109.9, 1444, 1, RS, III
109.9, 1446, 1, RS, III
109.9, 1465, 1, RS, III
109.9, 1509, 1, FS, III
110, 1343, 1, RS, III
110, 1345, 1, RS, III
110, 1369, 1, RS, III
110, 1370, 1, RS, III
110, 1392, 1, RS, III
110, 1406, 1, RS, III
110, 1424, 1, RS, III
110, 1428, 1, RS, III
110, 1474, 1, RS, III
110, 1493, 1, FS, III
110, 1503, 1, FS, III
110.1, 518, 0, FS, IV
110.1, 1318, 1, RS, III
110.1, 1319, 1, RS, III
110.1, 1332, 1, RS, III
110.1, 1381, 1, RS, III
110.1, 1394, 1, RS, III
110.1, 1427, 1, RS, III
110.1, 1443, 1, RS, III
110.1, 1447, 1, RS, III
110.1, 1464, 1, RS, III
110.1, 1470, 1, RS, III
110.1, 1492, 1, FS, III
110.2, 510, 0, FS, IV
110.2, 1298, 1, LTS, IV
110.2, 1306, 1, LTS, IV
110.2, 1375, 1, RS, III
110.2, 1441, 1, RS, III
110.2, 1473, 1, RS, III
110.2, 1478, 1, RS, III
110.2, 1508, 1, FS, III
110.2, 2034, 2, FS, IV
110.3, 1304, 1, LTS, IV
110.3, 1317, 1, RS, III
110.3, 1354, 1, RS, III
110.3, 1410, 1, RS, III
110.3, 1419, 1, RS, III
110.3, 1433, 1, RS, III
110.3, 1486, 1, FS, III
110.3, 1487, 1, FS, III
110.3, 2039, 2, FS, IV
110.4, 1311, 1, RS, III
110.4, 1313, 1, RS, III
110.4, 1351, 1, RS, III
110.4, 1376, 1, RS, III
110.4, 1402, 1, RS, III
110.4, 1405, 1, RS, III
110.4, 1431, 1, RS, III
110.4, 1432, 1, RS, III
110.4, 1436, 1, RS, III
110.4, 1458, 1, RS, III
110.4, 1467, 1, RS, III
110.4, 1468, 1, RS, III
110.5, 516, 0, FS, IV
110.5, 1039, 1, RS, V
110.5, 1278, 1, FS, IV
110.5, 1280, 1, FS, IV
110.5, 1341, 1, RS, III
110.5, 1344, 1, RS, III
110.5, 1346, 1, RS, III
110.5, 1399, 1, RS, III
110.5, 1417, 1, RS, III
110.5, 1440, 1, RS, III
110.5, 1479, 1, FS, III
110.5, 1481, 1, FS, III
110.5, 1497, 1, FS, III
110.5, 1502, 1, FS, III
110.5, 2045, 2, FS, IV
110.6, 519, 0, FS, IV
110.6, 1268, 1, FS, IV
110.6, 1287, 1, FS, IV
110.6, 1310, 1, RS, III
110.6, 1316, 1, RS, III
110.6, 1321, 1, RS, III
110.6, 1331, 1, RS, III
110.6, 1384, 1, RS, III
110.6, 1460, 1, RS, III
110.6, 1506, 1, FS, III
110.6, 2028, 2, FS, IV
110.6, 2030, 2, FS, IV
110.7, 1272, 1, FS, IV
110.7, 1294, 1, LTS, IV
110.7, 1312, 1, RS, III
110.7, 1323, 1, RS, III
110.7, 1374, 1, RS, III
110.7, 1380, 1, RS, III
110.7, 1404, 1, RS, III
110.7, 1450, 1, RS, III
110.7, 1461, 1, RS, III
110.7, 1483, 1, FS, III
110.7, 2029, 2, FS, IV
110.7, 2278, 2, LTS, III
110.8, 1335, 1, RS, III
110.8, 1347, 1, RS, III
110.8, 1357, 1, RS, III
110.8, 1386, 1, RS, III
110.8, 1389, 1, RS, III
110.8, 1395, 1, RS, III
110.8, 1403, 1, RS, III
110.9, 1325, 1, RS, III
110.9, 1329, 1, RS, III
110.9, 1338, 1, RS, III
110.9, 1339, 1, RS, III
110.9, 1340, 1, RS, III
110.9, 1378, 1, RS, III
110.9, 1379, 1, RS, III
110.9, 1390, 1, RS, III
110.9, 1398, 1, RS, III
110.9, 1437, 1, RS, III
110.9, 3444, 4, LTS, V
111, 1442, 1, RS, III
111.1, 1401, 1, RS, III
111.1, 1429, 1, RS, III
111.1, 1482, 1, FS, III
111.1, 2797, 3, FS, IV
111.2, 1274, 1, FS, IV
111.2, 1293, 1, LTS, IV
111.2, 1413, 1, RS, III
111.2, 1445, 1, RS, III
111.2, 1449, 1, RS, III
111.2, 1456, 1, RS, III
111.3, 512, 0, FS, IV
111.3, 1307, 1, RS, III
111.3, 1350, 1, RS, III
111.3, 1451, 1, RS, III
111.5, 1279, 1, FS, IV
111.5, 1281, 1, FS, IV
111.5, 1322, 1, RS, III
111.5, 1337, 1, RS, III
111.5, 1362, 1, RS, III
111.5, 1418, 1, RS, III
111.5, 2035, 2, FS, IV
111.6, 1308, 1, RS, III
111.6, 1324, 1, RS, III
111.6, 1364, 1, RS, III
111.6, 1382, 1, RS, III
111.6, 1435, 1, RS, III
111.7, 1385, 1, RS, III
111.7, 1494, 1, FS, III
111.7, 1511, 1, FS, III
111.8, 1302, 1, LTS, IV
111.8, 1489, 1, FS, III
111.9, 1334, 1, RS, III
111.9, 1505, 1, FS, III
112, 1296, 1, LTS, IV
112, 1327, 1, RS, III
112, 2672, 3, LTS, V
112.2, 1286, 1, FS, IV
112.2, 1365, 1, RS, III
112.2, 1491, 1, FS, III
112.2, 1496, 1, FS, III
112.3, 1269, 1, FS, IV
112.3, 1291, 1, LTS, IV
112.4, 1498, 1, FS, III
112.5, 1484, 1, FS, III
112.6, 1500, 1, FS, III
112.7, 1495, 1, FS, III
112.7, 1510, 1, FS, III
112.8, 1485, 1, FS, III
112.8, 1490, 1, FS, III
112.8, 1509, 1, FS, III
112.9, 1305, 1, LTS, IV
112.9, 2159, 2, RS, III
113, 1492, 1, FS, III
113.1, 526, 0, FS, IV
113.2, 732, 0, FS, III
113.2, 1084, 1, RS, V
113.2, 1089, 1, RS, V
113.2, 1393, 1, RS, III
113.2, 1493, 1, FS, III
113.2, 1501, 1, FS, III
113.3, 750, 0, FS, III
113.3, 1079, 1, RS, V
113.3, 1186, 1, IB, V
113.3, 1487, 1, FS, III
113.3, 2254, 2, FS, III
113.4, 1051, 1, RS, V
113.4, 1088, 1, RS, V
113.4, 1092, 1, RS, V
113.4, 1098, 1, RS, V
113.4, 1099, 1, RS, V
113.4, 1170, 1, IB, V
113.4, 1178, 1, IB, V
113.4, 1182, 1, IB, V
113.4, 1326, 1, RS, III
113.5, 733, 0, FS, III
113.5, 1037, 1, RS, V
113.5, 1049, 1, RS, V
113.5, 1109, 1, RS, V
113.5, 1177, 1, IB, V
113.5, 1180, 1, IB, V
113.5, 1408, 1, RS, III
113.5, 1506, 1, FS, III
113.5, 2245, 2, FS, III
113.5, 2255, 2, FS, III
113.5, 2262, 2, FS, III
113.6, 718, 0, FS, III
113.6, 734, 0, FS, III
113.6, 1056, 1, RS, V
113.6, 1071, 1, RS, V
113.6, 1073, 1, RS, V
113.6, 1481, 1, FS, III
113.7, 720, 0, FS, III
113.7, 722, 0, FS, III
113.7, 740, 0, FS, III
113.7, 1045, 1, RS, V
113.7, 1068, 1, RS, V
113.7, 1069, 1, RS, V
113.7, 1070, 1, RS, V
113.7, 1075, 1, RS, V
113.7, 1095, 1, RS, V
113.7, 1107, 1, RS, V
113.7, 1167, 1, IB, V
113.7, 1179, 1, IB, V
113.7, 1475, 1, RS, III
113.7, 2263, 2, FS, III
113.7, 2270, 2, FS, III
113.8, 743, 0, FS, III
113.8, 1034, 1, RS, V
113.8, 1081, 1, RS, V
113.8, 1105, 1, RS, V
113.8, 1425, 1, RS, III
113.8, 1497, 1, FS, III
113.8, 2260, 2, FS, III
113.8, 2264, 2, FS, III
113.9, 723, 0, FS, III
113.9, 731, 0, FS, III
113.9, 739, 0, FS, III
113.9, 746, 0, FS, III
113.9, 1038, 1, RS, V
113.9, 1168, 1, IB, V
113.9, 1173, 1, IB, V
113.9, 1175, 1, IB, V
113.9, 1181, 1, IB, V
113.9, 1183, 1, IB, V
113.9, 2252, 2, FS, III
114, 744, 0, FS, III
114, 1036, 1, RS, V
114, 1040, 1, RS, V
114, 1046, 1, RS, V
114, 1055, 1, RS, V
114, 1057, 1, RS, V
114, 1066, 1, RS, V
114, 1074, 1, RS, V
114, 1187, 1, IB, V
114, 1483, 1, FS, III
114, 2269, 2, FS, III
114.1, 747, 0, FS, III
114.1, 1050, 1, RS, V
114.1, 1053, 1, RS, V
114.1, 1054, 1, RS, V
114.1, 1080, 1, RS, V
114.1, 1189, 1, IB, V
114.2, 719, 0, FS, III
114.2, 738, 0, FS, III
114.2, 1047, 1, RS, V
114.2, 1052, 1, RS, V
114.2, 1072, 1, RS, V
114.2, 1086, 1, RS, V
114.2, 1172, 1, IB, V
114.2, 1174, 1, IB, V
114.2, 1190, 1, IB, V
114.2, 1391, 1, RS, III
114.2, 2241, 2, FS, III
114.2, 2251, 2, FS, III
114.2, 2265, 2, FS, III
114.2, 2268, 2, FS, III
114.3, 724, 0, FS, III
114.3, 726, 0, FS, III
114.3, 729, 0, FS, III
114.3, 745, 0, FS, III
114.3, 749, 0, FS, III
114.3, 1035, 1, RS, V
114.3, 1078, 1, RS, V
114.3, 1090, 1, RS, V
114.3, 1097, 1, RS, V
114.3, 1166, 1, IB, V
114.3, 1191, 1, IB, V
114.3, 2240, 2, FS, III
114.3, 2242, 2, FS, III
114.3, 2246, 2, FS, III
114.3, 2248, 2, FS, III
114.3, 2257, 2, FS, III
114.3, 2258, 2, FS, III
114.4, 725, 0, FS, III
114.4, 727, 0, FS, III
114.4, 728, 0, FS, III
114.4, 737, 0, FS, III
114.4, 1042, 1, RS, V
114.4, 1044, 1, RS, V
114.4, 1060, 1, RS, V
114.4, 1065, 1, RS, V
114.4, 1100, 1, RS, V
114.4, 1101, 1, RS, V
114.4, 1171, 1, IB, V
114.4, 2247, 2, FS, III
114.5, 721, 0, FS, III
114.5, 736, 0, FS, III
114.5, 742, 0, FS, III
114.5, 1061, 1, RS, V
114.5, 1062, 1, RS, V
114.5, 1093, 1, RS, V
114.5, 1102, 1, RS, V
114.5, 1103, 1, RS, V
114.5, 1185, 1, IB, V
114.5, 1504, 1, FS, III
114.5, 2250, 2, FS, III
114.5, 2259, 2, FS, III
114.5, 2261, 2, FS, III
114.5, 2266, 2, FS, III
114.5, 2267, 2, FS, III
114.6, 741, 0, FS, III
114.6, 1067, 1, RS, V
114.6, 1083, 1, RS, V
114.6, 1085, 1, RS, V
114.6, 1486, 1, FS, III
114.6, 2272, 2, FS, III
114.7, 730, 0, FS, III
114.7, 735, 0, FS, III
114.7, 1043, 1, RS, V
114.7, 1059, 1, RS, V
114.7, 1076, 1, RS, V
114.7, 1082, 1, RS, V
114.7, 1091, 1, RS, V
114.7, 1096, 1, RS, V
114.7, 1108, 1, RS, V
114.7, 1176, 1, IB, V
114.7, 2256, 2, FS, III
114.7, 2271, 2, FS, III
114.8, 1104, 1, RS, V
114.8, 1192, 1, IB, V
114.8, 2244, 2, FS, III
114.9, 1058, 1, RS, V
114.9, 1063, 1, RS, V
114.9, 1087, 1, RS, V
114.9, 1371, 1, RS, III
114.9, 2249, 2, FS, III
115, 1077, 1, RS, V
115, 1094, 1, RS, V
115, 1169, 1, IB, V
115, 1452, 1, RS, III
115, 1476, 1, RS, III
115, 2243, 2, FS, III
115.1, 1033, 1, RS, V
115.1, 1048, 1, RS, V
115.1, 1188, 1, IB, V
115.1, 1463, 1, RS, III
115.2, 1106, 1, RS, V
115.2, 1184, 1, IB, V
115.2, 1359, 1, RS, III
115.3, 748, 0, FS, III
115.3, 1041, 1, RS, V
115.3, 1352, 1, RS, III
115.3, 1396, 1, RS, III
115.3, 1438, 1, RS, III
115.3, 1459, 1, RS, III
115.3, 3456, 4, IB, V
115.4, 1330, 1, RS, III
115.4, 1409, 1, RS, III
115.4, 1430, 1, RS, III
115.4, 2253, 2, FS, III
115.5, 1315, 1, RS, III
115.5, 1366, 1, RS, III
115.5, 1453, 1, RS, III
115.5, 1469, 1, RS, III
115.5, 3002, 3, FS, III
115.6, 1314, 1, RS, III
115.6, 1368, 1, RS, III
115.6, 1387, 1, RS, III
115.6, 1407, 1, RS, III
115.6, 1472, 1, RS, III
115.6, 3001, 3, FS, III
115.7, 1064, 1, RS, V
115.7, 1348, 1, RS, III
115.7, 1349, 1, RS, III
115.7, 1383, 1, RS, III
115.7, 1400, 1, RS, III
115.7, 1426, 1, RS, III
115.8, 1309, 1, RS, III
115.8, 1328, 1, RS, III
115.8, 1358, 1, RS, III
115.8, 1360, 1, RS, III
115.8, 1361, 1, RS, III
115.8, 1363, 1, RS, III
115.8, 1377, 1, RS, III
115.8, 1412, 1, RS, III
115.8, 1423, 1, RS, III
115.8, 1434, 1, RS, III
115.8, 1457, 1, RS, III
115.8, 1477, 1, RS, III
115.8, 3016, 3, FS, III
115.9, 1397, 1, RS, III
115.9, 1420, 1, RS, III
115.9, 1462, 1, RS, III
115.9, 3026, 3, FS, III
116, 1355, 1, RS, III
116, 1367, 1, RS, III
116, 1416, 1, RS, III
116, 1422, 1, RS, III
116, 1454, 1, RS, III
116, 1455, 1, RS, III
116, 3018, 3, FS, III
116.1, 732, 0, FS, III
116.1, 1342, 1, RS, III
116.1, 1372, 1, RS, III
116.1, 1388, 1, RS, III
116.1, 1414, 1, RS, III
116.1, 1466, 1, RS, III
116.1, 3033, 3, FS, III
116.2, 750, 0, FS, III
116.2, 1333, 1, RS, III
116.2, 1336, 1, RS, III
116.2, 1353, 1, RS, III
116.2, 1411, 1, RS, III
116.2, 1415, 1, RS, III
116.2, 1439, 1, RS, III
116.2, 1446, 1, RS, III
116.2, 1465, 1, RS, III
116.3, 1343, 1, RS, III
116.3, 1345, 1, RS, III
116.3, 1369, 1, RS, III
116.3, 1370, 1, RS, III
116.3, 1406, 1, RS, III
116.3, 1424, 1, RS, III
116.3, 1474, 1, RS, III
116.3, 2254, 2, FS, III
116.4, 733, 0, FS, III
116.4, 1110, 1, FS, V
116.4, 1140, 1, FS, V
116.4, 1318, 1, RS, III
116.4, 1332, 1, RS, III
116.4, 1381, 1, RS, III
116.4, 1394, 1, RS, III
116.4, 1427, 1, RS, III
116.4, 1443, 1, RS, III
116.4, 1447, 1, RS, III
116.4, 1470, 1, RS, III
116.4, 2262, 2, FS, III
116.4, 3031, 3, FS, III
116.5, 1126, 1, FS, V
116.5, 1130, 1, FS, V
116.5, 1375, 1, RS, III
116.5, 1441, 1, RS, III
116.5, 1473, 1, RS, III
116.5, 1478, 1, RS, III
116.5, 3028, 3, FS, III
116.6, 718, 0, FS, III
116.6, 722, 0, FS, III
116.6, 740, 0, FS, III
116.6, 1129, 1, FS, V
116.6, 1142, 1, FS, V
116.6, 1145, 1, FS, V
116.6, 1354, 1, RS, III
116.6, 1410, 1, RS, III
116.6, 1419, 1, RS, III
116.6, 1433, 1, RS, III
116.6, 3006, 3, FS, III
116.6, 3009, 3, FS, III
116.7, 1111, 1, FS, V
116.7, 1115, 1, FS, V
116.7, 1117, 1, FS, V
116.7, 1120, 1, FS, V
116.7, 1121, 1, FS, V
116.7, 1122, 1, FS, V
116.7, 1131, 1, FS, V
116.7, 1135, 1, FS, V
116.7, 1186, 1, IB, V
116.7, 1311, 1, RS, III
116.7, 1313, 1, RS, III
116.7, 1351, 1, RS, III
116.7, 1376, 1, RS, III
116.7, 1402, 1, RS, III
116.7, 1405, 1, RS, III
116.7, 1431, 1, RS, III
116.7, 1432, 1, RS, III
116.7, 1436, 1, RS, III
116.7, 1458, 1, RS, III
116.7, 1467, 1, RS, III
116.7, 1468, 1, RS, III
116.7, 3011, 3, FS, III
116.7, 3024, 3, FS, III
116.8, 1039, 1, RS, V
116.8, 1118, 1, FS, V
116.8, 1119, 1, FS, V
116.8, 1132, 1, FS, V
116.8, 1137, 1, FS, V
116.8, 1138, 1, FS, V
116.8, 1143, 1, FS, V
116.8, 1170, 1, IB, V
116.8, 1178, 1, IB, V
116.8, 1182, 1, IB, V
116.8, 1341, 1, RS, III
116.8, 1344, 1, RS, III
116.8, 1346, 1, RS, III
116.8, 1399, 1, RS, III
116.8, 1417, 1, RS, III
116.8, 2252, 2, FS, III
116.8, 2264, 2, FS, III
116.9, 351, 0, FS, V
116.9, 358, 0, FS, V
116.9, 374, 0, FS, V
116.9, 1116, 1, FS, V
116.9, 1124, 1, FS, V
116.9, 1128, 1, FS, V
116.9, 1133, 1, FS, V
116.9, 1136, 1, FS, V
116.9, 1144, 1, FS, V
116.9, 1177, 1, IB, V
116.9, 1180, 1, IB, V
116.9, 1310, 1, RS, III
116.9, 1321, 1, RS, III
116.9, 1331, 1, RS, III
116.9, 1508, 1, FS, III
