10.9, 2056, 2, LTS, IV
112.1, 1277, 1, FS, IV
112.1, 1285, 1, FS, IV
112.2, 2032, 2, FS, IV
112.5, 1288, 1, FS, IV
112.7, 1238, 1, RS, IV
112.7, 1262, 1, RS, IV
112.7, 1269, 1, FS, IV
112.7, 1289, 1, FS, IV
112.7, 2159, 2, RS, III
112.9, 1298, 1, LTS, IV
112.9, 2029, 2, FS, IV
113, 1271, 1, FS, IV
113.2, 1259, 1, RS, IV
113.3, 1205, 1, RS, IV
113.3, 1270, 1, FS, IV
113.4, 506, 0, FS, IV
113.5, 1210, 1, RS, IV
113.6, 1438, 1, RS, III
113.6, 2044, 2, FS, IV
113.7, 1359, 1, RS, III
113.9, 1419, 1, RS, III
114, 1348, 1, RS, III
114, 1472, 1, RS, III
114.2, 1293, 1, LTS, IV
114.3, 1459, 1, RS, III
114.5, 2039, 2, FS, IV
114.6, 1500, 1, FS, III
114.7, 1453, 1, RS, III
114.8, 1304, 1, LTS, IV
114.8, 1466, 1, RS, III
114.9, 1452, 1, RS, III
115, 511, 0, FS, IV
115.1, 1355, 1, RS, III
115.1, 1426, 1, RS, III
115.1, 2047, 2, FS, IV
115.2, 514, 0, FS, IV
115.2, 1196, 1, RS, IV
115.2, 1330, 1, RS, III
115.2, 1358, 1, RS, III
115.2, 1470, 1, RS, III
115.2, 2037, 2, FS, IV
115.3, 1283, 1, FS, IV
115.3, 1383, 1, RS, III
115.3, 2035, 2, FS, IV
115.3, 3456, 4, IB, V
115.4, 1400, 1, RS, III
115.4, 1476, 1, RS, III
115.5, 1320, 1, RS, III
115.6, 1371, 1, RS, III
115.6, 1420, 1, RS, III
115.6, 1469, 1, RS, III
115.7, 1315, 1, RS, III
115.7, 1349, 1, RS, III
115.7, 1509, 1, FS, III
115.8, 1363, 1, RS, III
115.8, 1477, 1, RS, III
115.9, 1392, 1, RS, III
115.9, 1410, 1, RS, III
115.9, 1462, 1, RS, III
116, 1334, 1, RS, III
116, 1353, 1, RS, III
116, 1422, 1, RS, III
116.1, 1306, 1, LTS, IV
116.1, 1319, 1, RS, III
116.1, 1412, 1, RS, III
116.1, 1431, 1, RS, III
116.1, 1439, 1, RS, III
116.1, 1496, 1, FS, III
116.2, 1328, 1, RS, III
116.2, 1345, 1, RS, III
116.3, 1497, 1, FS, III
116.5, 1318, 1, RS, III
116.5, 1387, 1, RS, III
116.5, 1465, 1, RS, III
116.6, 1226, 1, RS, IV
116.6, 1394, 1, RS, III
116.6, 1455, 1, RS, III
116.7, 1372, 1, RS, III
116.7, 1376, 1, RS, III
116.7, 1405, 1, RS, III
116.7, 1444, 1, RS, III
116.8, 1342, 1, RS, III
116.8, 1398, 1, RS, III
116.9, 1352, 1, RS, III
116.9, 1375, 1, RS, III
116.9, 1463, 1, RS, III
117, 1324, 1, RS, III
117, 1416, 1, RS, III
117, 1423, 1, RS, III
117, 1430, 1, RS, III
117.1, 1321, 1, RS, III
117.1, 1340, 1, RS, III
117.1, 1404, 1, RS, III
117.2, 1389, 1, RS, III
117.2, 1464, 1, RS, III
117.3, 1407, 1, RS, III
117.4, 1314, 1, RS, III
117.4, 1350, 1, RS, III
117.5, 1396, 1, RS, III
117.5, 1433, 1, RS, III
117.6, 1291, 1, LTS, IV
117.6, 1495, 1, FS, III
117.7, 1164, 1, LTS, V
117.8, 1367, 1, RS, III
117.8, 1414, 1, RS, III
117.8, 1448, 1, RS, III
117.9, 1335, 1, RS, III
117.9, 1346, 1, RS, III
117.9, 1357, 1, RS, III
117.9, 1360, 1, RS, III
118, 1361, 1, RS, III
118, 1381, 1, RS, III
118.1, 1432, 1, RS, III
118.1, 1441, 1, RS, III
118.1, 1443, 1, RS, III
118.1, 1457, 1, RS, III
118.2, 1479, 1, FS, III
118.2, 1494, 1, FS, III
118.3, 1311, 1, RS, III
118.3, 1362, 1, RS, III
118.3, 1397, 1, RS, III
118.3, 1505, 1, FS, III
118.4, 1351, 1, RS, III
118.4, 1366, 1, RS, III
118.5, 1467, 1, RS, III
118.6, 2048, 2, FS, IV
118.7, 1344, 1, RS, III
118.7, 1347, 1, RS, III
118.7, 1369, 1, RS, III
118.7, 1428, 1, RS, III
118.8, 1310, 1, RS, III
118.8, 1316, 1, RS, III
118.8, 1492, 1, FS, III
118.9, 1313, 1, RS, III
118.9, 1402, 1, RS, III
118.9, 1417, 1, RS, III
118.9, 1434, 1, RS, III
118.9, 1478, 1, RS, III
119, 1317, 1, RS, III
119, 1445, 1, RS, III
119, 1485, 1, FS, III
119.1, 1309, 1, RS, III
119.1, 1354, 1, RS, III
119.2, 1341, 1, RS, III
119.2, 1374, 1, RS, III
119.2, 1380, 1, RS, III
119.2, 1409, 1, RS, III
119.3, 1368, 1, RS, III
119.3, 1399, 1, RS, III
119.3, 1475, 1, RS, III
119.3, 1480, 1, FS, III
119.3, 1501, 1, FS, III
119.4, 1081, 1, RS, V
119.4, 1493, 1, FS, III
119.5, 1056, 1, RS, V
119.5, 1333, 1, RS, III
119.5, 1395, 1, RS, III
119.6, 1037, 1, RS, V
119.6, 1073, 1, RS, V
119.6, 1084, 1, RS, V
119.6, 1186, 1, IB, V
119.7, 1088, 1, RS, V
119.7, 1327, 1, RS, III
119.7, 1406, 1, RS, III
119.8, 1092, 1, RS, V
119.9, 1055, 1, RS, V
119.9, 1100, 1, RS, V
119.9, 1379, 1, RS, III
119.9, 1483, 1, FS, III
120, 1040, 1, RS, V
120, 1170, 1, IB, V
120, 1332, 1, RS, III
120, 1359, 1, RS, III
120, 1411, 1, RS, III
120, 1415, 1, RS, III
120, 1451, 1, RS, III
120, 1502, 1, FS, III
120, 1506, 1, FS, III
120.1, 733, 0, FS, III
120.1, 1042, 1, RS, V
120.1, 1095, 1, RS, V
120.1, 1167, 1, IB, V
120.1, 1339, 1, RS, III
120.2, 1183, 1, IB, V
120.3, 1051, 1, RS, V
120.3, 1071, 1, RS, V
120.3, 1074, 1, RS, V
120.3, 1079, 1, RS, V
120.3, 1098, 1, RS, V
120.3, 1099, 1, RS, V
120.3, 2254, 2, FS, III
120.4, 1045, 1, RS, V
120.4, 1168, 1, IB, V
120.4, 1178, 1, IB, V
120.4, 1182, 1, IB, V
120.4, 1190, 1, IB, V
120.4, 1348, 1, RS, III
120.4, 1482, 1, FS, III
120.5, 1066, 1, RS, V
120.5, 1097, 1, RS, V
120.5, 1484, 1, FS, III
120.6, 1034, 1, RS, V
120.6, 1047, 1, RS, V
120.6, 1054, 1, RS, V
120.6, 1059, 1, RS, V
120.6, 1068, 1, RS, V
120.6, 1086, 1, RS, V
120.6, 1177, 1, IB, V
120.6, 1187, 1, IB, V
120.6, 1403, 1, RS, III
120.6, 1468, 1, RS, III
120.6, 1504, 1, FS, III
120.7, 1053, 1, RS, V
120.7, 1109, 1, RS, V
120.7, 1336, 1, RS, III
120.7, 1384, 1, RS, III
120.7, 1435, 1, RS, III
120.7, 1498, 1, FS, III
120.8, 1039, 1, RS, V
120.8, 1052, 1, RS, V
120.8, 1104, 1, RS, V
120.8, 1166, 1, IB, V
120.8, 1189, 1, IB, V
120.8, 1418, 1, RS, III
120.8, 1471, 1, RS, III
120.8, 1489, 1, FS, III
120.8, 1496, 1, FS, III
120.9, 732, 0, FS, III
120.9, 1038, 1, RS, V
120.9, 1072, 1, RS, V
120.9, 1078, 1, RS, V
120.9, 1171, 1, IB, V
120.9, 1173, 1, IB, V
120.9, 1388, 1, RS, III
120.9, 1450, 1, RS, III
120.9, 1487, 1, FS, III
121, 743, 0, FS, III
121, 1035, 1, RS, V
121, 1036, 1, RS, V
121, 1049, 1, RS, V
121, 1069, 1, RS, V
121, 1085, 1, RS, V
121, 1107, 1, RS, V
121, 1179, 1, IB, V
121, 1181, 1, IB, V
121, 1191, 1, IB, V
121, 1401, 1, RS, III
121.1, 1044, 1, RS, V
121.1, 1070, 1, RS, V
121.1, 1176, 1, IB, V
121.1, 1322, 1, RS, III
121.1, 1377, 1, RS, III
121.1, 1437, 1, RS, III
121.1, 1456, 1, RS, III
121.1, 1503, 1, FS, III
121.1, 1510, 1, FS, III
121.1, 2241, 2, FS, III
121.2, 718, 0, FS, III
121.2, 1050, 1, RS, V
121.2, 1065, 1, RS, V
121.2, 1067, 1, RS, V
121.2, 1076, 1, RS, V
121.2, 1090, 1, RS, V
121.2, 1172, 1, IB, V
121.2, 1329, 1, RS, III
121.2, 1356, 1, RS, III
121.2, 1424, 1, RS, III
121.3, 1087, 1, RS, V
121.3, 1089, 1, RS, V
121.3, 1101, 1, RS, V
121.3, 1103, 1, RS, V
121.3, 1105, 1, RS, V
121.3, 1175, 1, IB, V
121.3, 1184, 1, IB, V
121.3, 1185, 1, IB, V
121.3, 1188, 1, IB, V
121.3, 1486, 1, FS, III
121.3, 1491, 1, FS, III
121.3, 2245, 2, FS, III
121.3, 2262, 2, FS, III
121.4, 721, 0, FS, III
121.4, 740, 0, FS, III
121.4, 1057, 1, RS, V
121.4, 1060, 1, RS, V
121.4, 1075, 1, RS, V
121.4, 1093, 1, RS, V
121.4, 1102, 1, RS, V
121.4, 1108, 1, RS, V
121.4, 1307, 1, RS, III
121.4, 1447, 1, RS, III
121.4, 1460, 1, RS, III
121.4, 2255, 2, FS, III
121.4, 3430, 4, LTS, V
121.5, 1046, 1, RS, V
121.5, 1094, 1, RS, V
121.5, 1180, 1, IB, V
121.5, 1330, 1, RS, III
121.5, 1331, 1, RS, III
121.5, 1425, 1, RS, III
121.6, 1192, 1, IB, V
121.6, 1312, 1, RS, III
121.6, 1323, 1, RS, III
121.6, 1383, 1, RS, III
121.6, 1429, 1, RS, III
121.6, 2240, 2, FS, III
121.6, 2270, 2, FS, III
121.7, 719, 0, FS, III
121.7, 723, 0, FS, III
121.7, 1096, 1, RS, V
121.7, 1174, 1, IB, V
121.7, 1337, 1, RS, III
121.7, 1378, 1, RS, III
121.7, 1382, 1, RS, III
121.7, 1400, 1, RS, III
121.7, 1421, 1, RS, III
121.7, 1481, 1, FS, III
121.7, 1492, 1, FS, III
121.7, 1500, 1, FS, III
121.7, 1508, 1, FS, III
121.8, 734, 0, FS, III
121.8, 750, 0, FS, III
121.8, 1061, 1, RS, V
121.8, 1082, 1, RS, V
121.8, 2246, 2, FS, III
121.8, 2258, 2, FS, III
121.9, 722, 0, FS, III
121.9, 730, 0, FS, III
121.9, 737, 0, FS, III
121.9, 1041, 1, RS, V
121.9, 1043, 1, RS, V
121.9, 1058, 1, RS, V
121.9, 1077, 1, RS, V
121.9, 1083, 1, RS, V
121.9, 1091, 1, RS, V
121.9, 1169, 1, IB, V
121.9, 1427, 1, RS, III
121.9, 1473, 1, RS, III
121.9, 1485, 1, FS, III
122, 1080, 1, RS, V
122, 1349, 1, RS, III
122, 1408, 1, RS, III
122, 1499, 1, FS, III
122, 2247, 2, FS, III
122.1, 729, 0, FS, III
122.1, 731, 0, FS, III
122.1, 1106, 1, RS, V
122.1, 1363, 1, RS, III
122.1, 2261, 2, FS, III
122.1, 2265, 2, FS, III
122.2, 726, 0, FS, III
122.2, 741, 0, FS, III
122.2, 1062, 1, RS, V
122.2, 1063, 1, RS, V
122.2, 1338, 1, RS, III
122.2, 2243, 2, FS, III
122.2, 2252, 2, FS, III
122.3, 720, 0, FS, III
122.3, 1343, 1, RS, III
122.3, 2249, 2, FS, III
122.3, 2260, 2, FS, III
122.3, 2268, 2, FS, III
122.4, 724, 0, FS, III
122.4, 2235, 2, RS, III
122.4, 2269, 2, FS, III
122.5, 727, 0, FS, III
122.5, 738, 0, FS, III
122.5, 1033, 1, RS, V
122.6, 1135, 1, FS, V
122.6, 1142, 1, FS, V
122.6, 2257, 2, FS, III
122.7, 725, 0, FS, III
122.7, 728, 0, FS, III
122.7, 736, 0, FS, III
122.7, 739, 0, FS, III
122.7, 1048, 1, RS, V
122.7, 1110, 1, FS, V
122.7, 1120, 1, FS, V
122.7, 1509, 1, FS, III
122.7, 2244, 2, FS, III
122.7, 2250, 2, FS, III
122.7, 2263, 2, FS, III
122.8, 742, 0, FS, III
122.8, 745, 0, FS, III
122.8, 1140, 1, FS, V
122.8, 1145, 1, FS, V
122.8, 1521, 1, LTS, III
122.8, 2253, 2, FS, III
122.8, 3446, 4, LTS, V
122.9, 1117, 1, FS, V
122.9, 1126, 1, FS, V
122.9, 1129, 1, FS, V
122.9, 1133, 1, FS, V
122.9, 1137, 1, FS, V
122.9, 1143, 1, FS, V
122.9, 1386, 1, RS, III
122.9, 1495, 1, FS, III
122.9, 1511, 1, FS, III
122.9, 2251, 2, FS, III
123, 748, 0, FS, III
123, 1111, 1, FS, V
123, 1112, 1, FS, V
123, 1114, 1, FS, V
123, 1115, 1, FS, V
123, 1118, 1, FS, V
123, 1121, 1, FS, V
123, 1123, 1, FS, V
123, 1128, 1, FS, V
123, 1130, 1, FS, V
123, 1144, 1, FS, V
123, 1186, 1, IB, V
123, 1446, 1, RS, III
123, 1507, 1, FS, III
123.1, 735, 0, FS, III
123.1, 747, 0, FS, III
123.1, 749, 0, FS, III
123.1, 1119, 1, FS, V
123.1, 1122, 1, FS, V
123.1, 1127, 1, FS, V
123.1, 1131, 1, FS, V
123.1, 1132, 1, FS, V
123.1, 1136, 1, FS, V
123.1, 1138, 1, FS, V
123.1, 1398, 1, RS, III
123.1, 1442, 1, RS, III
123.1, 1501, 1, FS, III
123.1, 2271, 2, FS, III
123.2, 1116, 1, FS, V
123.2, 1124, 1, FS, V
123.2, 1125, 1, FS, V
123.2, 1134, 1, FS, V
123.2, 1352, 1, RS, III
123.2, 2242, 2, FS, III
123.2, 2256, 2, FS, III
123.3, 374, 0, FS, V
123.3, 744, 0, FS, III
123.3, 746, 0, FS, III
123.3, 1139, 1, FS, V
123.4, 1113, 1, FS, V
123.4, 1141, 1, FS, V
123.4, 1146, 1, FS, V
123.4, 1170, 1, IB, V
123.4, 1321, 1, RS, III
123.4, 1325, 1, RS, III
123.5, 1167, 1, IB, V
123.5, 2825, 3, LTS, IV
123.6, 753, 0, LTS, III
123.6, 1064, 1, RS, V
123.6, 1183, 1, IB, V
123.6, 1490, 1, FS, III
123.6, 2248, 2, FS, III
123.6, 2267, 2, FS, III
123.7, 361, 0, FS, V
123.7, 1370, 1, RS, III
123.8, 1168, 1, IB, V
123.8, 1178, 1, IB, V
123.8, 1182, 1, IB, V
123.8, 1190, 1, IB, V
123.8, 1308, 1, RS, III
123.8, 1413, 1, RS, III
123.8, 1487, 1, FS, III
123.8, 1488, 1, FS, III
123.8, 1493, 1, FS, III
123.8, 3009, 3, FS, III
123.9, 355, 0, FS, V
123.9, 358, 0, FS, V
123.9, 371, 0, FS, V
123.9, 376, 0, FS, V
123.9, 1326, 1, RS, III
123.9, 1476, 1, RS, III
123.9, 1480, 1, FS, III
123.9, 1878, 2, FS, V
123.9, 2824, 3, LTS, IV
124, 351, 0, FS, V
124, 363, 0, FS, V
124, 1177, 1, IB, V
124, 1187, 1, IB, V
124, 1474, 1, RS, III
124, 3025, 3, FS, III
124.1, 349, 0, FS, V
124.1, 352, 0, FS, V
124.1, 357, 0, FS, V
124.1, 364, 0, FS, V
124.1, 379, 0, FS, V
124.1, 381, 0, FS, V
124.1, 382, 0, FS, V
124.1, 1367, 1, RS, III
124.1, 1494, 1, FS, III
124.1, 1877, 2, FS, V
124.1, 1882, 2, FS, V
124.1, 1891, 2, FS, V
124.2, 360, 0, FS, V
124.2, 365, 0, FS, V
124.2, 377, 0, FS, V
124.2, 1166, 1, IB, V
124.2, 1189, 1, IB, V
124.2, 1390, 1, RS, III
124.2, 1454, 1, RS, III
124.2, 1486, 1, FS, III
124.2, 1506, 1, FS, III
124.2, 1884, 2, FS, V
124.2, 1894, 2, FS, V
124.2, 2264, 2, FS, III
124.3, 356, 0, FS, V
124.3, 373, 0, FS, V
124.3, 1171, 1, IB, V
124.3, 1173, 1, IB, V
124.3, 1440, 1, RS, III
124.3, 1510, 1, FS, III
124.3, 1520, 1, LTS, III
124.3, 1871, 2, FS, V
124.3, 1886, 2, FS, V
124.3, 1887, 2, FS, V
124.3, 1896, 2, FS, V
124.3, 1897, 2, FS, V
124.3, 1899, 2, FS, V
124.3, 1903, 2, FS, V
124.4, 367, 0, FS, V
124.4, 369, 0, FS, V
124.4, 1179, 1, IB, V
124.4, 1181, 1, IB, V
124.4, 1191, 1, IB, V
124.4, 1432, 1, RS, III
124.4, 1441, 1, RS, III
124.4, 1497, 1, FS, III
124.4, 1873, 2, FS, V
124.4, 1874, 2, FS, V
124.4, 1880, 2, FS, V
124.4, 1881, 2, FS, V
124.4, 1885, 2, FS, V
124.4, 1898, 2, FS, V
124.4, 1902, 2, FS, V
124.5, 353, 0, FS, V
124.5, 354, 0, FS, V
124.5, 1176, 1, IB, V
124.5, 1385, 1, RS, III
124.5, 1883, 2, FS, V
124.5, 1888, 2, FS, V
124.5, 1890, 2, FS, V
124.5, 1907, 2, FS, V
124.6, 350, 0, FS, V
124.6, 375, 0, FS, V
124.6, 380, 0, FS, V
124.6, 1172, 1, IB, V
124.6, 1311, 1, RS, III
124.6, 1481, 1, FS, III
124.6, 1875, 2, FS, V
124.6, 1889, 2, FS, V
124.6, 1895, 2, FS, V
124.6, 1900, 2, FS, V
124.6, 1901, 2, FS, V
124.6, 1904, 2, FS, V
124.6, 1905, 2, FS, V
124.7, 366, 0, FS, V
124.7, 370, 0, FS, V
124.7, 385, 0, FS, V
124.7, 1175, 1, IB, V
124.7, 1184, 1, IB, V
124.7, 1185, 1, IB, V
124.7, 1188, 1, IB, V
124.7, 1892, 2, FS, V
124.7, 1906, 2, FS, V
124.8, 368, 0, FS, V
124.8, 372, 0, FS, V
124.8, 1876, 2, FS, V
124.8, 1893, 2, FS, V
124.9, 384, 0, FS, V
124.9, 1180, 1, IB, V
124.9, 1362, 1, RS, III
124.9, 1419, 1, RS, III
124.9, 1499, 1, FS, III
124.9, 3006, 3, FS, III
125, 359, 0, FS, V
125, 1192, 1, IB, V
125, 1344, 1, RS, III
125, 1485, 1, FS, III
125, 1505, 1, FS, III
125, 1879, 2, FS, V
125.1, 383, 0, FS, V
125.1, 1174, 1, IB, V
125.1, 1310, 1, RS, III
125.1, 1458, 1, RS, III
125.1, 1508, 1, FS, III
125.2, 1478, 1, RS, III
125.2, 3018, 3, FS, III
125.3, 1169, 1, IB, V
125.4, 362, 0, FS, V
125.4, 378, 0, FS, V
125.4, 1295, 1, LTS, IV
125.4, 1304, 1, LTS, IV
125.4, 1491, 1, FS, III
125.4, 1872, 2, FS, V
125.4, 3001, 3, FS, III
125.4, 3026, 3, FS, III
125.4, 3030, 3, FS, III
125.5, 1135, 1, FS, V
125.5, 1142, 1, FS, V
125.5, 1301, 1, LTS, IV
125.5, 1305, 1, LTS, IV
125.6, 1110, 1, FS, V
125.6, 1120, 1, FS, V
125.6, 1300, 1, LTS, IV
125.6, 1302, 1, LTS, IV
125.6, 1399, 1, RS, III
125.7, 1081, 1, RS, V
125.7, 1140, 1, FS, V
125.7, 1145, 1, FS, V
125.7, 1816, 2, RS, V
125.7, 3033, 3, FS, III
125.8, 1056, 1, RS, V
125.8, 1117, 1, FS, V
125.8, 1126, 1, FS, V
125.8, 1129, 1, FS, V
125.8, 1133, 1, FS, V
125.8, 1137, 1, FS, V
125.8, 1143, 1, FS, V
125.8, 1303, 1, LTS, IV
125.8, 1495, 1, FS, III
125.8, 2262, 2, FS, III
125.9, 1037, 1, RS, V
125.9, 1073, 1, RS, V
125.9, 1084, 1, RS, V
125.9, 1111, 1, FS, V
125.9, 1112, 1, FS, V
125.9, 1114, 1, FS, V
125.9, 1115, 1, FS, V
125.9, 1118, 1, FS, V
125.9, 1121, 1, FS, V
125.9, 1123, 1, FS, V
125.9, 1128, 1, FS, V
125.9, 1130, 1, FS, V
125.9, 1144, 1, FS, V
125.9, 1292, 1, LTS, IV
125.9, 1498, 1, FS, III
125.9, 3020, 3, FS, III
126, 1088, 1, RS, V
126, 1119, 1, FS, V
126, 1122, 1, FS, V
126, 1127, 1, FS, V
126, 1131, 1, FS, V
126, 1132, 1, FS, V
126, 1136, 1, FS, V
126, 1138, 1, FS, V
126, 1297, 1, LTS, IV
126, 3013, 3, FS, III
126, 3015, 3, FS, III
126.1, 1092, 1, RS, V
126.1, 1116, 1, FS, V
126.1, 1124, 1, FS, V
126.1, 1125, 1, FS, V
126.1, 1134, 1, FS, V
126.1, 1294, 1, LTS, IV
126.2, 374, 0, FS, V
126.2, 1055, 1, RS, V
126.2, 1100, 1, RS, V
126.2, 1139, 1, FS, V
126.3, 1040, 1, RS, V
126.3, 1113, 1, FS, V
126.3, 1141, 1, FS, V
126.3, 1146, 1, FS, V
126.3, 1306, 1, LTS, IV
126.3, 1484, 1, FS, III
126.4, 1042, 1, RS, V
126.4, 1095, 1, RS, V
126.4, 1186, 1, IB, V
126.4, 1274, 1, FS, IV
126.4, 1290, 1, LTS, IV
126.4, 1500, 1, FS, III
126.4, 1507, 1, FS, III
126.4, 3008, 3, FS, III
126.4, 3016, 3, FS, III
126.5, 1298, 1, LTS, IV
126.6, 361, 0, FS, V
126.6, 1051, 1, RS, V
126.6, 1071, 1, RS, V
126.6, 1074, 1, RS, V
126.6, 1079, 1, RS, V
126.6, 1098, 1, RS, V
126.6, 1099, 1, RS, V
126.7, 1045, 1, RS, V
126.7, 1291, 1, LTS, IV
126.7, 1487, 1, FS, III
126.7, 1488, 1, FS, III
126.7, 1492, 1, FS, III
126.7, 1493, 1, FS, III
126.7, 3019, 3, FS, III
126.8, 355, 0, FS, V
126.8, 358, 0, FS, V
126.8, 371, 0, FS, V
126.8, 376, 0, FS, V
126.8, 421, 0, IB, V
126.8, 1066, 1, RS, V
126.8, 1097, 1, RS, V
126.8, 1170, 1, IB, V
126.8, 1490, 1, FS, III
126.8, 1878, 2, FS, V
126.8, 2658, 3, FS, V
126.9, 351, 0, FS, V
126.9, 363, 0, FS, V
126.9, 1034, 1, RS, V
126.9, 1047, 1, RS, V
126.9, 1054, 1, RS, V
126.9, 1059, 1, RS, V
126.9, 1068, 1, RS, V
126.9, 1086, 1, RS, V
126.9, 1167, 1, IB, V
126.9, 1332, 1, RS, III
127, 349, 0, FS, V
127, 352, 0, FS, V
127, 357, 0, FS, V
127, 364, 0, FS, V
127, 379, 0, FS, V
127, 381, 0, FS, V
127, 382, 0, FS, V
127, 1053, 1, RS, V
127, 1109, 1, RS, V
127, 1183, 1, IB, V
127, 1299, 1, LTS, IV
127, 1877, 2, FS, V
127, 1882, 2, FS, V
127, 1891, 2, FS, V
127.1, 360, 0, FS, V
127.1, 365, 0, FS, V
127.1, 377, 0, FS, V
127.1, 1039, 1, RS, V
127.1, 1052, 1, RS, V
127.1, 1104, 1, RS, V
127.1, 1884, 2, FS, V
127.1, 1894, 2, FS, V
127.1, 2644, 3, FS, V
127.2, 356, 0, FS, V
127.2, 373, 0, FS, V
127.2, 1038, 1, RS, V
127.2, 1072, 1, RS, V
127.2, 1078, 1, RS, V
127.2, 1168, 1, IB, V
127.2, 1178, 1, IB, V
127.2, 1182, 1, IB, V
127.2, 1190, 1, IB, V
127.2, 1501, 1, FS, III
127.2, 1871, 2, FS, V
127.2, 1886, 2, FS, V
127.2, 1887, 2, FS, V
127.2, 1896, 2, FS, V
127.2, 1897, 2, FS, V
127.2, 1899, 2, FS, V
127.2, 1903, 2, FS, V
127.3, 367, 0, FS, V
127.3, 369, 0, FS, V
127.3, 1035, 1, RS, V
127.3, 1036, 1, RS, V
127.3, 1049, 1, RS, V
127.3, 1069, 1, RS, V
127.3, 1085, 1, RS, V
127.3, 1107, 1, RS, V
127.3, 1268, 1, FS, IV
